,sex,race,age,degree,wrkstat,income,happy
741,Female,White,48,High school,Working fulltime,$25000 or more,Pretty happy
742,Male,White,61,High school,Retired,$15000 - 19999,Pretty happy
743,Female,White,19,High school,Keeping house,$25000 or more,Pretty happy
744,Female,Other,36,Lt high school,Working parttime,$25000 or more,Very happy
745,Female,Black,28,Bachelor,Working parttime,Don't know,Not too happy
746,Male,Black,23,Bachelor,Working fulltime,$20000 - 24999,Pretty happy
747,Female,Black,29,High school,Working fulltime,$25000 or more,Pretty happy
748,Male,White,69,Bachelor,Working fulltime,$25000 or more,Pretty happy
749,Male,Black,35,Bachelor,Working fulltime,$25000 or more,Pretty happy
750,Female,Black,38,High school,Working fulltime,$10000 - 14999,Pretty happy
751,Female,Black,31,Junior college,Working fulltime,$25000 or more,Pretty happy
752,Female,Black,42,High school,Working parttime,$15000 - 19999,Pretty happy
753,Male,White,78,Graduate,Retired,$25000 or more,Pretty happy
754,Female,Other,31,Lt high school,Working parttime,Don't know,Pretty happy
755,Female,Other,67,Lt high school,Other,Don't know,Very happy
756,Female,White,48,Bachelor,Working fulltime,$25000 or more,Pretty happy
757,Male,Black,68,Junior college,Working fulltime,$25000 or more,Very happy
758,Male,Black,42,High school,Working fulltime,$25000 or more,Very happy
759,Female,White,65,High school,Working fulltime,$25000 or more,Very happy
760,Female,White,44,High school,Keeping house,$25000 or more,Pretty happy
761,Female,White,77,High school,Retired,$25000 or more,Not too happy
762,Female,White,62,High school,Working fulltime,$25000 or more,Pretty happy
763,Male,White,51,Lt high school,Working fulltime,$10000 - 14999,Pretty happy
764,Female,Black,21,High school,Keeping house,Don't know,Not too happy
765,Female,White,28,Lt high school,Working fulltime,$25000 or more,Very happy
766,Female,White,20,High school,School,$25000 or more,Very happy
767,Female,White,19,High school,Working parttime,$25000 or more,Not too happy
768,Female,White,53,High school,Working fulltime,Don't know,Pretty happy
769,Female,Black,40,High school,Working fulltime,$25000 or more,Pretty happy
770,Male,White,51,Bachelor,Working fulltime,$25000 or more,Pretty happy
771,Male,Black,65,High school,Retired,$25000 or more,Not too happy
772,Female,Black,51,High school,Working fulltime,$25000 or more,Pretty happy
773,Male,Black,60,Junior college,Working fulltime,$25000 or more,Pretty happy
774,Male,Black,57,High school,Working parttime,$25000 or more,Pretty happy
775,Female,White,70,High school,Retired,$20000 - 24999,Not too happy
776,Female,Black,53,High school,Other,$3000 to 3999,Very happy
777,Female,Black,37,Bachelor,Working fulltime,$10000 - 14999,Pretty happy
778,Male,Black,56,High school,Working fulltime,$25000 or more,Very happy
779,Female,Black,59,High school,Keeping house,$20000 - 24999,Pretty happy
780,Female,Black,21,High school,School,$25000 or more,Pretty happy
781,Male,White,59,Lt high school,Working fulltime,$25000 or more,Pretty happy
782,Male,White,66,High school,Retired,$5000 to 5999,Very happy
783,Male,White,56,Junior college,Working fulltime,$1000 to 2999,Very happy
784,Female,Black,56,High school,Working fulltime,$25000 or more,Pretty happy
785,Female,Black,24,Junior college,Working fulltime,$25000 or more,Pretty happy
786,Female,Black,87,High school,Other,Don't know,Very happy
787,Female,Black,22,High school,Working fulltime,$25000 or more,Pretty happy
788,Male,Black,51,High school,Working fulltime,$25000 or more,Not too happy
789,Female,Black,56,High school,Working fulltime,$25000 or more,Pretty happy
790,Female,Black,47,Bachelor,Working fulltime,$25000 or more,Pretty happy
791,Male,White,18,Lt high school,School,$3000 to 3999,Not too happy
792,Female,White,26,Lt high school,"Unempl, laid off",$25000 or more,Pretty happy
793,Female,Black,27,High school,School,$25000 or more,Not too happy
794,Male,Other,20,High school,Working parttime,Refused,Very happy
795,Female,Black,33,High school,Working fulltime,$25000 or more,Pretty happy
796,Female,White,31,High school,Working fulltime,$20000 - 24999,Very happy
797,Female,White,70,Graduate,Working parttime,$25000 or more,Pretty happy
798,Female,White,51,Bachelor,Other,Don't know,Pretty happy
799,Female,White,87,Bachelor,Retired,$25000 or more,Pretty happy
800,Female,White,54,Bachelor,Working fulltime,$25000 or more,Pretty happy
801,Female,White,81,High school,Retired,$25000 or more,Very happy
802,Male,Black,25,Junior college,Working parttime,$3000 to 3999,Pretty happy
803,Male,Black,47,High school,Working fulltime,$1000 to 2999,Very happy
804,Male,Black,65,Bachelor,Retired,$25000 or more,Pretty happy
805,Male,White,75,Lt high school,Retired,$1000 to 2999,Very happy
806,Male,White,46,Bachelor,Working fulltime,$25000 or more,Pretty happy
807,Male,White,51,High school,"Unempl, laid off",$25000 or more,Pretty happy
808,Male,White,53,Graduate,Working fulltime,$25000 or more,Pretty happy
809,Female,White,45,Bachelor,Keeping house,Refused,Pretty happy
810,Female,White,18,High school,School,Refused,Pretty happy
811,Female,White,52,Graduate,Working fulltime,$25000 or more,Very happy
812,Female,White,56,Bachelor,Working fulltime,$25000 or more,Very happy
813,Male,White,34,Bachelor,Working fulltime,Refused,Very happy
814,Female,Black,58,Bachelor,Keeping house,$15000 - 19999,Pretty happy
815,Male,Black,59,High school,Working fulltime,$25000 or more,Pretty happy
816,Female,Black,69,Graduate,Retired,$15000 - 19999,Pretty happy
817,Female,Black,67,High school,Retired,$10000 - 14999,Not too happy
818,Female,Black,54,Bachelor,Other,Refused,Not too happy
819,Male,Black,53,High school,Working fulltime,$25000 or more,Very happy
820,Female,Black,47,High school,Working fulltime,$10000 - 14999,Pretty happy
821,Male,Black,47,Bachelor,Retired,Refused,Pretty happy
822,Female,Black,63,Lt high school,Keeping house,$20000 - 24999,Not too happy
823,Female,Black,32,Bachelor,Working fulltime,$25000 or more,Not too happy
824,Female,White,28,Bachelor,Working fulltime,$25000 or more,Pretty happy
825,Female,White,23,High school,"Unempl, laid off",$25000 or more,Pretty happy
826,Female,White,53,Bachelor,Working fulltime,$25000 or more,Not too happy
827,Female,Other,39,Lt high school,Working fulltime,$20000 - 24999,Not too happy
828,Female,Black,38,High school,Working fulltime,$25000 or more,Not too happy
829,Male,White,51,High school,Working fulltime,$25000 or more,Pretty happy
830,Female,White,66,Bachelor,Working fulltime,$25000 or more,Pretty happy
831,Male,White,54,Graduate,Working fulltime,Refused,Very happy
832,Male,White,68,High school,Retired,$25000 or more,Pretty happy
833,Male,White,58,Bachelor,Working fulltime,Refused,Not too happy
834,Male,White,47,Graduate,Working fulltime,Refused,Pretty happy
835,Female,White,33,Graduate,Working parttime,$25000 or more,Very happy
836,Female,White,66,Bachelor,Keeping house,Refused,Very happy
837,Male,White,27,High school,Working fulltime,$25000 or more,Pretty happy
838,Male,White,54,High school,"Unempl, laid off",$15000 - 19999,Pretty happy
839,Male,White,53,High school,"Unempl, laid off",$25000 or more,Pretty happy
840,Male,White,54,Junior college,Working fulltime,$25000 or more,Pretty happy
841,Female,White,51,High school,Keeping house,$10000 - 14999,Pretty happy
842,Male,White,67,High school,Retired,$10000 - 14999,Not too happy
843,Female,White,67,High school,Working parttime,$25000 or more,Pretty happy
844,Female,White,65,High school,Retired,$20000 - 24999,Not too happy
845,Female,Black,23,Junior college,Working fulltime,Refused,Pretty happy
846,Female,Black,27,High school,Working fulltime,$25000 or more,Pretty happy
847,Male,Black,28,High school,Working fulltime,$15000 - 19999,Pretty happy
848,Female,White,34,Bachelor,Working fulltime,$25000 or more,Pretty happy
849,Female,White,27,Bachelor,Working fulltime,$20000 - 24999,Pretty happy
850,Male,Black,60,Lt high school,"Unempl, laid off",$4000 to 4999,Pretty happy
851,Male,White,26,Junior college,Working fulltime,$25000 or more,Not too happy
852,Female,White,74,High school,Keeping house,$10000 - 14999,Pretty happy
853,Female,White,44,High school,Working parttime,$4000 to 4999,Very happy
854,Male,White,31,High school,Working fulltime,$25000 or more,Pretty happy
855,Male,White,63,High school,Retired,$20000 - 24999,Very happy
856,Female,White,72,High school,Retired,$8000 to 9999,Pretty happy
857,Male,White,25,Bachelor,Working fulltime,Refused,Pretty happy
858,Male,Other,35,Bachelor,Working fulltime,$25000 or more,Very happy
859,Male,Black,56,High school,Working fulltime,$25000 or more,Very happy
860,Female,Other,20,High school,School,$20000 - 24999,Pretty happy
861,Male,Other,75,High school,Retired,$20000 - 24999,Pretty happy
862,Female,Other,43,Bachelor,Working fulltime,Refused,Very happy
863,Female,Other,28,Graduate,"Unempl, laid off",$25000 or more,Pretty happy
864,Male,White,68,Junior college,Retired,$10000 - 14999,Pretty happy
865,Female,White,61,Bachelor,Working fulltime,$25000 or more,Pretty happy
866,Female,White,46,High school,Working fulltime,$25000 or more,Not too happy
867,Male,White,53,Graduate,Working fulltime,$25000 or more,Pretty happy
868,Female,White,79,High school,Retired,Don't know,Not too happy
869,Female,White,35,Bachelor,Working fulltime,$25000 or more,Pretty happy
870,Female,White,70,Graduate,Retired,$25000 or more,Pretty happy
871,Female,White,59,High school,Retired,$15000 - 19999,Not too happy
872,Male,Black,54,No answer,Other,Refused,No answer
873,Male,White,47,Lt high school,Retired,$10000 - 14999,Pretty happy
874,Female,Black,22,High school,Working fulltime,$25000 or more,Not too happy
875,Female,White,65,Junior college,Other,$10000 - 14999,Pretty happy
876,Female,White,81,Junior college,Retired,$25000 or more,Not too happy
877,Male,White,74,Graduate,Retired,$25000 or more,Pretty happy
878,Female,White,77,Bachelor,Retired,$25000 or more,Very happy
879,Male,Other,22,High school,Working parttime,$25000 or more,Pretty happy
880,Male,White,54,Graduate,Working fulltime,Refused,Pretty happy
881,Female,White,48,Bachelor,Working parttime,$25000 or more,Very happy
882,Male,White,43,Bachelor,Working fulltime,$25000 or more,Pretty happy
883,Female,White,27,Junior college,Working fulltime,$25000 or more,Pretty happy
884,Female,Other,30,Bachelor,Working fulltime,Refused,Very happy
885,Male,White,52,Graduate,Temp not working,Refused,Pretty happy
886,Female,White,55,Junior college,Working fulltime,Refused,Pretty happy
887,Male,White,40,Bachelor,Working fulltime,Refused,Pretty happy
888,Male,White,51,Junior college,Working parttime,$25000 or more,Not too happy
889,Female,Other,21,High school,Working fulltime,$25000 or more,Not too happy
890,Male,White,29,High school,Working fulltime,$20000 - 24999,Very happy
891,Female,White,83,High school,Retired,Don't know,Pretty happy
892,Female,White,81,High school,Retired,$15000 - 19999,Pretty happy
893,Female,Black,66,Graduate,Retired,Refused,Very happy
894,Male,White,72,Bachelor,Retired,$25000 or more,Pretty happy
895,Female,White,78,High school,Retired,$10000 - 14999,Not too happy
896,Male,Other,80,High school,Retired,$25000 or more,Very happy
897,Female,White,60,High school,Keeping house,$25000 or more,Pretty happy
898,Male,White,24,High school,Working parttime,$15000 - 19999,Pretty happy
899,Male,White,81,Graduate,Working fulltime,$25000 or more,Pretty happy
900,Female,White,33,Junior college,Working fulltime,$25000 or more,Not too happy
901,Female,White,89 or older,Lt high school,Retired,Don't know,Pretty happy
902,Male,Other,23,High school,Working parttime,$25000 or more,Pretty happy
903,Female,White,22,High school,Working fulltime,$20000 - 24999,Pretty happy
904,Male,White,31,High school,School,$25000 or more,Very happy
905,Female,Other,34,Lt high school,Other,$25000 or more,Very happy
906,Female,White,87,Lt high school,Retired,Refused,Pretty happy
907,Female,White,47,High school,Working fulltime,$25000 or more,Pretty happy
908,Male,White,35,High school,Working fulltime,$25000 or more,Pretty happy
909,Female,White,76,High school,Retired,$15000 - 19999,Pretty happy
910,Female,White,44,High school,Retired,$25000 or more,Pretty happy
911,Female,White,27,Bachelor,Temp not working,$25000 or more,Pretty happy
912,Female,White,19,High school,Working parttime,Don't know,Very happy
913,Female,Other,39,Bachelor,Working fulltime,Don't know,Pretty happy
914,Female,White,58,Bachelor,Keeping house,$25000 or more,Pretty happy
915,Female,White,42,High school,Working fulltime,$25000 or more,Pretty happy
916,Female,White,71,High school,Keeping house,$25000 or more,Very happy
917,Female,Other,43,High school,Working fulltime,$25000 or more,Pretty happy
918,Female,Black,30,High school,Keeping house,$25000 or more,Very happy
919,Female,White,51,Graduate,Working fulltime,$25000 or more,Very happy
920,Female,White,39,High school,Working fulltime,$25000 or more,Not too happy
921,Female,White,27,High school,Keeping house,$25000 or more,Pretty happy
922,Male,White,66,Bachelor,Retired,$25000 or more,Pretty happy
923,Male,Black,60,Graduate,Working fulltime,$25000 or more,Very happy
924,Female,White,19,High school,School,Refused,Not too happy
925,Male,White,30,High school,Working fulltime,$25000 or more,Pretty happy
926,Female,White,37,High school,Working fulltime,$25000 or more,Pretty happy
927,Male,White,50,High school,Working fulltime,$1000 to 2999,Very happy
928,Female,Other,35,High school,Working fulltime,$5000 to 5999,Very happy
929,Male,White,44,Bachelor,Working fulltime,Refused,Very happy
930,Female,White,70,High school,Retired,$20000 - 24999,Pretty happy
931,Female,Other,20,Lt high school,Working parttime,$25000 or more,Very happy
932,Female,White,33,Lt high school,Keeping house,$6000 to 6999,Very happy
933,Male,White,51,High school,Working fulltime,$25000 or more,Very happy
934,Male,Other,62,Lt high school,Other,$7000 to 7999,Very happy
935,Female,White,46,High school,Keeping house,$25000 or more,Pretty happy
936,Male,White,47,High school,Working fulltime,$25000 or more,Not too happy
937,Female,White,56,Bachelor,Working fulltime,$25000 or more,Very happy
938,Female,White,27,Graduate,Working fulltime,$25000 or more,Very happy
939,Female,White,27,Graduate,Working fulltime,$25000 or more,Pretty happy
940,Male,Black,40,Graduate,Working fulltime,$25000 or more,Pretty happy
941,Female,Other,32,Junior college,Working fulltime,Refused,Pretty happy
942,Female,White,63,Bachelor,Retired,$25000 or more,Very happy
943,Female,White,38,Bachelor,Working fulltime,$25000 or more,Very happy
944,Male,Other,35,Lt high school,Working parttime,$1000 to 2999,Pretty happy
945,Female,Other,79,Lt high school,Keeping house,$10000 - 14999,Very happy
946,Male,Other,47,High school,Other,$3000 to 3999,Very happy
947,Male,Other,43,Bachelor,Working fulltime,$25000 or more,Very happy
948,Female,Other,44,High school,Working fulltime,Refused,Pretty happy
949,Female,Other,34,Lt high school,Keeping house,$1000 to 2999,Very happy
950,Female,Other,43,High school,Working parttime,$25000 or more,Very happy
951,Female,Black,28,Lt high school,Keeping house,$1000 to 2999,Very happy
952,Female,White,44,High school,Working fulltime,Refused,Not too happy
953,Female,Black,54,High school,Working fulltime,$25000 or more,Very happy
954,Female,Black,79,High school,Retired,$20000 - 24999,Pretty happy
955,Male,Black,59,High school,Other,Don't know,Pretty happy
956,Female,Black,28,High school,Working parttime,$15000 - 19999,Not too happy
957,Male,Black,52,High school,"Unempl, laid off",Lt $1000,Pretty happy
958,Female,White,63,High school,Keeping house,$8000 to 9999,Pretty happy
959,Male,Black,30,High school,Other,$8000 to 9999,Pretty happy
960,Female,Black,24,High school,"Unempl, laid off",Don't know,Not too happy
961,Male,Black,29,High school,Working fulltime,$25000 or more,Pretty happy
962,Male,White,46,High school,Keeping house,$25000 or more,Very happy
963,Female,White,73,High school,Working parttime,$15000 - 19999,Pretty happy
964,Male,White,57,High school,Other,$25000 or more,Pretty happy
965,Female,White,20,High school,Working parttime,$10000 - 14999,Pretty happy
966,Male,White,51,Bachelor,Working fulltime,Refused,Pretty happy
967,Male,Other,43,High school,Working fulltime,$25000 or more,Very happy
968,Male,White,65,Bachelor,Working fulltime,$25000 or more,Pretty happy
969,Male,White,28,Junior college,Keeping house,$15000 - 19999,Pretty happy
970,Male,White,25,Bachelor,Keeping house,Don't know,Not too happy
971,Male,White,40,Lt high school,"Unempl, laid off",Lt $1000,Not too happy
972,Male,Black,56,High school,Keeping house,Refused,Pretty happy
973,Male,Other,34,Graduate,Working fulltime,Refused,Not too happy
974,Male,White,27,High school,Working parttime,Don't know,Not too happy
975,Female,White,59,High school,Working fulltime,$25000 or more,Pretty happy
976,Female,White,25,High school,Working parttime,$20000 - 24999,Pretty happy
977,Male,White,56,Bachelor,Working parttime,$10000 - 14999,Very happy
978,Female,White,61,High school,Keeping house,Refused,Very happy
979,Female,White,56,High school,Working fulltime,$25000 or more,Very happy
980,Female,White,46,Junior college,Working parttime,$15000 - 19999,Very happy
981,Female,Other,35,Bachelor,Working fulltime,Refused,Very happy
982,Female,White,31,Bachelor,Working fulltime,$25000 or more,Pretty happy
983,Male,White,57,High school,"Unempl, laid off",$20000 - 24999,Pretty happy
984,Female,White,50,High school,Working fulltime,$25000 or more,Pretty happy
985,Male,White,25,High school,"Unempl, laid off",$25000 or more,Pretty happy
986,Female,White,59,High school,Working fulltime,$10000 - 14999,Not too happy
987,Male,White,73,High school,Retired,$25000 or more,Very happy
988,Male,Other,60,High school,"Unempl, laid off",$25000 or more,Very happy
989,Male,White,66,High school,Retired,Refused,Pretty happy
990,Male,Other,84,Lt high school,Retired,Don't know,Very happy
991,Female,Other,57,Lt high school,Working fulltime,$15000 - 19999,Pretty happy
992,Male,White,68,High school,Retired,$25000 or more,Pretty happy
993,Female,White,35,High school,Working fulltime,$25000 or more,Pretty happy
994,Female,Other,28,Bachelor,Keeping house,$25000 or more,Pretty happy
995,Female,White,35,High school,"Unempl, laid off",Don't know,Pretty happy
996,Female,White,42,Graduate,Working fulltime,$25000 or more,Very happy
997,Female,White,38,High school,"Unempl, laid off",$15000 - 19999,Pretty happy
998,Male,White,69,Lt high school,Working fulltime,$25000 or more,Very happy
999,Male,White,68,High school,Retired,$25000 or more,Pretty happy
1000,Male,White,44,High school,Working fulltime,$25000 or more,Very happy
1001,Male,White,67,Bachelor,Retired,$25000 or more,Pretty happy
1002,Female,White,28,High school,Working fulltime,$8000 to 9999,Pretty happy
1003,Female,White,45,Bachelor,Working fulltime,$25000 or more,Pretty happy
1004,Male,White,62,Bachelor,Working fulltime,$10000 - 14999,Not too happy
1005,Female,Black,68,Graduate,Retired,$25000 or more,Pretty happy
1006,Female,White,34,Bachelor,Working parttime,$25000 or more,Very happy
1007,Female,White,32,Bachelor,Working fulltime,$25000 or more,Pretty happy
1008,Female,White,24,Lt high school,Working fulltime,$25000 or more,Very happy
1009,Female,White,31,Graduate,Temp not working,$25000 or more,Pretty happy
1010,Female,Black,32,Bachelor,"Unempl, laid off",$25000 or more,Very happy
1011,Male,White,22,High school,Working parttime,$15000 - 19999,Pretty happy
1012,Male,Black,25,High school,Working fulltime,$25000 or more,Pretty happy
1013,Female,Black,34,Bachelor,Temp not working,$25000 or more,Pretty happy
1014,Female,Other,35,High school,"Unempl, laid off",$10000 - 14999,Not too happy
1015,Female,Black,60,High school,Working fulltime,$25000 or more,Very happy
1016,Female,White,64,High school,Working fulltime,$25000 or more,Pretty happy
1017,Male,Black,26,High school,Working fulltime,$25000 or more,Very happy
1018,Male,White,30,High school,Working fulltime,$20000 - 24999,Not too happy
1019,Male,White,63,Graduate,Working parttime,$25000 or more,Pretty happy
1020,Male,White,46,Bachelor,Working fulltime,$25000 or more,Pretty happy
1021,Male,Other,24,High school,Working parttime,$8000 to 9999,Not too happy
1022,Male,White,32,Junior college,Working fulltime,$20000 - 24999,Pretty happy
1023,Male,White,61,Bachelor,Working parttime,$15000 - 19999,Pretty happy
1024,Female,White,57,Graduate,Working fulltime,Refused,Very happy
1025,Male,White,40,Bachelor,"Unempl, laid off",$25000 or more,Not too happy
1026,Female,White,42,High school,Working fulltime,Don't know,Pretty happy
1027,Female,White,64,Bachelor,Working fulltime,$25000 or more,Pretty happy
1028,Female,White,50,Bachelor,Working parttime,$1000 to 2999,Not too happy
1029,Male,White,41,Graduate,Working fulltime,$25000 or more,Very happy
1030,Male,White,58,Graduate,Working fulltime,$25000 or more,Very happy
1031,Female,White,71,Junior college,Retired,$25000 or more,Pretty happy
1032,Female,White,58,Graduate,Working fulltime,$25000 or more,Pretty happy
1033,Male,White,55,Bachelor,Working fulltime,$25000 or more,Pretty happy
1034,Female,White,65,Bachelor,Working fulltime,$25000 or more,Very happy
1035,Male,White,27,Bachelor,Working fulltime,$25000 or more,Very happy
1036,Male,White,43,Bachelor,Working parttime,$25000 or more,Pretty happy
1037,Female,White,29,Bachelor,Working fulltime,$15000 - 19999,Very happy
1038,Male,White,56,Bachelor,Working fulltime,$25000 or more,Very happy
1039,Female,White,67,Graduate,Retired,$25000 or more,Pretty happy
1040,Male,White,21,High school,Working parttime,$25000 or more,Pretty happy
1041,Male,White,69,High school,Working fulltime,$25000 or more,Not too happy
1042,Female,White,62,Bachelor,Retired,$25000 or more,Very happy
1043,Female,White,23,High school,Working parttime,$25000 or more,Very happy
1044,Female,White,43,Bachelor,Working fulltime,$25000 or more,Very happy
1045,Female,White,46,High school,Working fulltime,$25000 or more,Pretty happy
1046,Male,White,34,Bachelor,Working fulltime,$25000 or more,Very happy
1047,Male,White,40,Graduate,Working fulltime,$25000 or more,Pretty happy
1048,Male,White,56,Bachelor,Retired,$25000 or more,Pretty happy
1049,Female,White,25,Bachelor,Working fulltime,$25000 or more,Very happy
1050,Female,White,77,High school,Retired,$25000 or more,Pretty happy
1051,Male,White,30,Bachelor,Working parttime,$25000 or more,Pretty happy
1052,Male,White,70,High school,Retired,$25000 or more,Not too happy
1053,Female,White,70,High school,Retired,$25000 or more,Not too happy
1054,Male,White,79,Bachelor,Retired,$25000 or more,Pretty happy
1055,Male,White,59,High school,Working fulltime,$20000 - 24999,Pretty happy
1056,Female,White,61,Bachelor,Working fulltime,$25000 or more,Pretty happy
1057,Male,White,68,High school,Retired,$25000 or more,Pretty happy
1058,Male,Black,29,High school,Working fulltime,$25000 or more,Pretty happy
1059,Female,Black,31,High school,Working parttime,$10000 - 14999,Pretty happy
1060,Male,White,32,Bachelor,Working fulltime,$15000 - 19999,Pretty happy
1061,Female,Black,27,High school,Working parttime,$15000 - 19999,Pretty happy
1062,Male,Black,47,High school,"Unempl, laid off",$20000 - 24999,Not too happy
1063,Male,White,35,Junior college,School,$20000 - 24999,Pretty happy
1064,Male,White,54,High school,Working fulltime,$25000 or more,Pretty happy
1065,Male,Black,54,Lt high school,"Unempl, laid off",$7000 to 7999,Not too happy
1066,Male,Black,31,High school,"Unempl, laid off",$15000 - 19999,Pretty happy
1067,Female,White,55,High school,Working fulltime,$25000 or more,Pretty happy
1068,Female,Black,61,High school,Working fulltime,$25000 or more,Pretty happy
1069,Male,White,26,High school,Working fulltime,$25000 or more,Pretty happy
1070,Female,White,60,High school,Working fulltime,$25000 or more,Very happy
1071,Female,White,60,High school,Retired,$7000 to 7999,Pretty happy
1072,Male,White,25,Bachelor,Working fulltime,$20000 - 24999,Pretty happy
1073,Male,White,56,Bachelor,Working fulltime,$25000 or more,Pretty happy
1074,Male,Black,57,High school,Other,$15000 - 19999,Not too happy
1075,Male,Black,49,Lt high school,Keeping house,Lt $1000,Very happy
1076,Male,Black,82,Lt high school,Retired,$15000 - 19999,Very happy
1077,Male,Black,53,Lt high school,Working fulltime,$25000 or more,Pretty happy
1078,Female,Black,22,High school,Working fulltime,$15000 - 19999,Pretty happy
1079,Male,Black,29,Junior college,Working fulltime,$25000 or more,Pretty happy
1080,Female,White,50,High school,Working fulltime,$25000 or more,Pretty happy
1081,Female,White,35,Junior college,Working fulltime,$25000 or more,Pretty happy
1082,Male,White,56,Bachelor,Retired,$25000 or more,Pretty happy
1083,Male,White,82,High school,Retired,$15000 - 19999,Pretty happy
1084,Male,White,39,Lt high school,Keeping house,Don't know,Not too happy
1085,Female,White,50,Lt high school,Working fulltime,$25000 or more,Very happy
1086,Female,White,50,High school,Working parttime,$15000 - 19999,Pretty happy
1087,Male,White,22,High school,Working fulltime,$25000 or more,Pretty happy
1088,Female,White,52,Graduate,Working fulltime,$20000 - 24999,Pretty happy
1089,Female,White,66,Graduate,Retired,$25000 or more,Not too happy
1090,Female,White,38,Lt high school,Working fulltime,$25000 or more,Pretty happy
1091,Female,White,39,High school,Working fulltime,$25000 or more,Pretty happy
1092,Male,White,38,Lt high school,Temp not working,$25000 or more,Very happy
1093,Female,White,62,High school,Keeping house,$25000 or more,Very happy
1094,Female,Black,43,Junior college,Working fulltime,$25000 or more,Pretty happy
1095,Female,White,53,High school,Working fulltime,$25000 or more,Pretty happy
1096,Male,White,39,High school,Working fulltime,$25000 or more,Not too happy
1097,Female,White,23,High school,Working parttime,Refused,Very happy
1098,Female,White,69,Graduate,Retired,$25000 or more,Very happy
1099,Female,White,56,High school,Working fulltime,$25000 or more,Very happy
1100,Male,White,77,Graduate,Retired,$25000 or more,Very happy
1101,Male,White,77,High school,Keeping house,$10000 - 14999,Pretty happy
1102,Male,White,61,High school,Retired,$25000 or more,Very happy
1103,Female,White,39,High school,Working fulltime,$25000 or more,Very happy
1104,Female,Other,83,Lt high school,Keeping house,$20000 - 24999,Pretty happy
1105,Male,White,65,High school,Working fulltime,$25000 or more,Pretty happy
1106,Male,White,27,High school,Working fulltime,$25000 or more,Pretty happy
1107,Male,Black,59,High school,Keeping house,$10000 - 14999,Pretty happy
1108,Female,White,63,Bachelor,Retired,$25000 or more,Very happy
1109,Male,White,50,Junior college,Other,$15000 - 19999,Pretty happy
1110,Male,White,72,High school,Retired,$25000 or more,Not too happy
1111,Female,White,42,High school,"Unempl, laid off",Don't know,Pretty happy
1112,Female,White,52,Graduate,Working parttime,Refused,Pretty happy
1113,Male,White,75,High school,Retired,$25000 or more,Pretty happy
1114,Female,White,40,Bachelor,Working fulltime,Refused,Pretty happy
1115,Female,White,69,Bachelor,Working parttime,$25000 or more,Pretty happy
1116,Female,White,62,Bachelor,Temp not working,Refused,Pretty happy
1117,Male,White,42,Graduate,Temp not working,Refused,Pretty happy
1118,Female,White,82,Junior college,Retired,$20000 - 24999,Very happy
1119,Female,White,74,High school,Retired,Refused,Very happy
1120,Female,White,83,High school,Retired,$7000 to 7999,Pretty happy
1121,Male,White,76,Junior college,Working parttime,Refused,Very happy
1122,Female,White,52,Graduate,Working fulltime,$25000 or more,Very happy
1123,Male,White,23,Bachelor,School,Refused,Pretty happy
1124,Male,Black,19,High school,School,$25000 or more,Very happy
1125,Female,Black,51,High school,Working parttime,$25000 or more,Pretty happy
1126,Female,Other,37,High school,Keeping house,$25000 or more,Very happy
1127,Female,Black,53,Lt high school,Working parttime,$20000 - 24999,Pretty happy
1128,Male,Black,51,No answer,No answer,Don't know,Pretty happy
1129,Male,White,28,Bachelor,Working fulltime,$25000 or more,Very happy
1130,Male,Black,31,High school,Working fulltime,$25000 or more,Very happy
1131,Male,White,43,High school,Working fulltime,$25000 or more,Pretty happy
1132,Male,Black,89 or older,Junior college,Retired,$25000 or more,Not too happy
1133,Male,Other,56,High school,Working fulltime,$25000 or more,Pretty happy
1134,Female,Other,19,High school,Working parttime,$10000 - 14999,Very happy
1135,Male,White,58,High school,Working fulltime,$25000 or more,Pretty happy
1136,Male,Other,38,Junior college,Working fulltime,$25000 or more,Very happy
1137,Female,White,47,Bachelor,Working fulltime,$25000 or more,Pretty happy
1138,Female,White,48,High school,Working fulltime,$20000 - 24999,Pretty happy
1139,Male,White,38,High school,Keeping house,$25000 or more,Pretty happy
1140,Male,White,26,Junior college,Temp not working,$25000 or more,Pretty happy
1141,Female,White,23,Lt high school,Working parttime,$1000 to 2999,Very happy
1142,Female,White,44,High school,Temp not working,$15000 - 19999,Not too happy
1143,Female,White,30,Lt high school,Working parttime,$25000 or more,Very happy
1144,Male,White,No answer,Lt high school,Working fulltime,$20000 - 24999,Not too happy
1145,Male,Black,35,High school,Working fulltime,$25000 or more,Pretty happy
1146,Female,White,49,Graduate,Working fulltime,$25000 or more,Pretty happy
1147,Male,Other,52,High school,Working fulltime,$25000 or more,Very happy
1148,Male,White,73,High school,Retired,$20000 - 24999,Very happy
1149,Female,White,52,High school,Working fulltime,$25000 or more,Pretty happy
1150,Male,Other,22,High school,Working fulltime,Don't know,Pretty happy
1151,Female,White,26,Bachelor,Working fulltime,$25000 or more,Pretty happy
1152,Male,White,42,Lt high school,Keeping house,$1000 to 2999,Pretty happy
1153,Female,Black,46,High school,Working fulltime,$25000 or more,Pretty happy
1154,Male,Black,24,High school,"Unempl, laid off",Don't know,Not too happy
1155,Female,Other,27,High school,Working fulltime,$25000 or more,Pretty happy
1156,Female,Black,33,High school,Working fulltime,$25000 or more,Pretty happy
